Preparation of Training Data time: 27.600 seconds
TRAINING: | Iteration [1/12] | Loss 0.59 | Norm 5.000
TRAINING: | Iteration [4/12] | Loss 0.22 | Norm 3.514
TRAINING: | Iteration [5/12] | Loss 0.19 | Norm 4.255
TRAINING: | Iteration [6/12] | Loss 0.17 | Norm 3.275
TRAINING: | Iteration [7/12] | Loss 0.22 | Norm 4.132
TRAINING: | Iteration [8/12] | Loss 0.25 | Norm 5.000
TRAINING: | Iteration [9/12] | Loss 0.15 | Norm 2.126
TRAINING: | Iteration [10/12] | Loss 0.23 | Norm 1.900
TRAINING: | Iteration [11/12] | Loss 0.21 | Norm 3.256
TRAINING: | Iteration [12/12] | Loss 0.25 | Norm 5.000
Epoch: 6/10000 | Epoch Time: 0.094 seconds
TRAINING: | Iteration [1/12] | Loss 0.19 | Norm 1.573
TRAINING: | Iteration [2/12] | Loss 0.21 | Norm 4.714
TRAINING: | Iteration [3/12] | Loss 0.20 | Norm 5.000
TRAINING: | Iteration [4/12] | Loss 0.22 | Norm 5.000
TRAINING: | Iteration [5/12] | Loss 0.15 | Norm 1.882
TRAINING: | Iteration [6/12] | Loss 0.17 | Norm 5.000
TRAINING: | Iteration [7/12] | Loss 0.16 | Norm 4.734
TRAINING: | Iteration [8/12] | Loss 0.14 | Norm 3.462
TRAINING: | Iteration [9/12] | Loss 0.14 | Norm 2.275
TRAINING: | Iteration [10/12] | Loss 0.15 | Norm 3.285
TRAINING: | Iteration [11/12] | Loss 0.19 | Norm 3.463
TRAINING: | Iteration [12/12] | Loss 0.17 | Norm 4.391
Epoch: 7/10000 | Epoch Time: 0.094 seconds
TRAINING: | Iteration [1/12] | Loss 0.17 | Norm 2.844
TRAINING: | Iteration [2/12] | Loss 0.20 | Norm 2.138
TRAINING: | Iteration [3/12] | Loss 0.23 | Norm 5.000
TRAINING: | Iteration [4/12] | Loss 0.16 | Norm 4.451
TRAINING: | Iteration [5/12] | Loss 0.18 | Norm 2.111
TRAINING: | Iteration [6/12] | Loss 0.15 | Norm 4.500
TRAINING: | Iteration [7/12] | Loss 0.16 | Norm 1.608
TRAINING: | Iteration [8/12] | Loss 0.16 | Norm 3.568
TRAINING: | Iteration [9/12] | Loss 0.15 | Norm 1.430
TRAINING: | Iteration [10/12] | Loss 0.14 | Norm 3.240
TRAINING: | Iteration [11/12] | Loss 0.13 | Norm 1.522
TRAINING: | Iteration [12/12] | Loss 0.16 | Norm 2.096
Epoch: 8/10000 | Epoch Time: 0.094 seconds
TRAINING: | Iteration [1/12] | Loss 0.18 | Norm 2.835
TRAINING: | Iteration [2/12] | Loss 0.14 | Norm 1.744
TRAINING: | Iteration [3/12] | Loss 0.16 | Norm 1.283
TRAINING: | Iteration [4/12] | Loss 0.14 | Norm 1.098
TRAINING: | Iteration [5/12] | Loss 0.17 | Norm 1.860
TRAINING: | Iteration [6/12] | Loss 0.16 | Norm 2.535
TRAINING: | Iteration [7/12] | Loss 0.22 | Norm 1.958
TRAINING: | Iteration [8/12] | Loss 0.18 | Norm 1.772
TRAINING: | Iteration [9/12] | Loss 0.15 | Norm 1.471
TRAINING: | Iteration [10/12] | Loss 0.24 | Norm 2.433
TRAINING: | Iteration [11/12] | Loss 0.22 | Norm 4.095
TRAINING: | Iteration [12/12] | Loss 0.15 | Norm 2.482
Epoch: 9/10000 | Epoch Time: 0.095 seconds
TRAINING: | Iteration [1/12] | Loss 0.17 | Norm 3.860
TRAINING: | Iteration [2/12] | Loss 0.15 | Norm 5.000
TRAINING: | Iteration [3/12] | Loss 0.16 | Norm 1.592
TRAINING: | Iteration [4/12] | Loss 0.17 | Norm 1.385
TRAINING: | Iteration [5/12] | Loss 0.18 | Norm 3.845
TRAINING: | Iteration [6/12] | Loss 0.17 | Norm 5.000
TRAINING: | Iteration [7/12] | Loss 0.16 | Norm 1.110
TRAINING: | Iteration [8/12] | Loss 0.21 | Norm 3.290
TRAINING: | Iteration [9/12] | Loss 0.16 | Norm 4.634
TRAINING: | Iteration [10/12] | Loss 0.19 | Norm 1.246
TRAINING: | Iteration [11/12] | Loss 0.12 | Norm 1.051
TRAINING: | Iteration [12/12] | Loss 0.19 | Norm 5.000
Epoch: 10/10000 | Epoch Time: 0.094 seconds
Saving Model
TRAINING: | Iteration [1/12] | Loss 0.15 | Norm 1.084
TRAINING: | Iteration [2/12] | Loss 0.21 | Norm 2.757
TRAINING: | Iteration [3/12] | Loss 0.18 | Norm 3.494
TRAINING: | Iteration [4/12] | Loss 0.18 | Norm 3.821
TRAINING: | Iteration [5/12] | Loss 0.18 | Norm 2.846
TRAINING: | Iteration [6/12] | Loss 0.12 | Norm 2.044
TRAINING: | Iteration [7/12] | Loss 0.18 | Norm 2.839
TRAINING: | Iteration [8/12] | Loss 0.15 | Norm 2.814
TRAINING: | Iteration [9/12] | Loss 0.19 | Norm 3.201
TRAINING: | Iteration [10/12] | Loss 0.16 | Norm 3.104
TRAINING: | Iteration [11/12] | Loss 0.12 | Norm 1.798
TRAINING: | Iteration [12/12] | Loss 0.18 | Norm 2.364
Epoch: 11/10000 | Epoch Time: 0.095 seconds
TRAINING: | Iteration [1/12] | Loss 0.22 | Norm 3.808
TRAINING: | Iteration [2/12] | Loss 0.19 | Norm 2.543
TRAINING: | Iteration [3/12] | Loss 0.18 | Norm 2.376
TRAINING: | Iteration [4/12] | Loss 0.19 | Norm 3.236
TRAINING: | Iteration [5/12] | Loss 0.15 | Norm 4.174
TRAINING: | Iteration [6/12] | Loss 0.16 | Norm 2.518
TRAINING: | Iteration [7/12] | Loss 0.19 | Norm 3.743
TRAINING: | Iteration [8/12] | Loss 0.21 | Norm 5.000
TRAINING: | Iteration [9/12] | Loss 0.13 | Norm 2.048
TRAINING: | Iteration [10/12] | Loss 0.14 | Norm 2.025
TRAINING: | Iteration [11/12] | Loss 0.16 | Norm 1.075
TRAINING: | Iteration [12/12] | Loss 0.18 | Norm 3.937
Epoch: 12/10000 | Epoch Time: 0.094 seconds
TRAINING: | Iteration [1/12] | Loss 0.15 | Norm 1.440
TRAINING: | Iteration [2/12] | Loss 0.17 | Norm 2.340
TRAINING: | Iteration [3/12] | Loss 0.17 | Norm 5.000
TRAINING: | Iteration [4/12] | Loss 0.13 | Norm 2.242
TRAINING: | Iteration [5/12] | Loss 0.14 | Norm 1.503
TRAINING: | Iteration [6/12] | Loss 0.14 | Norm 1.490
TRAINING: | Iteration [7/12] | Loss 0.11 | Norm 1.349
TRAINING: | Iteration [8/12] | Loss 0.22 | Norm 5.000
TRAINING: | Iteration [9/12] | Loss 0.13 | Norm 2.226
TRAINING: | Iteration [10/12] | Loss 0.17 | Norm 4.164
TRAINING: | Iteration [11/12] | Loss 0.15 | Norm 4.508
TRAINING: | Iteration [12/12] | Loss 0.10 | Norm 1.289
Epoch: 13/10000 | Epoch Time: 0.094 seconds
TRAINING: | Iteration [1/12] | Loss 0.12 | Norm 2.830
TRAINING: | Iteration [2/12] | Loss 0.15 | Norm 1.637
TRAINING: | Iteration [3/12] | Loss 0.14 | Norm 2.633
TRAINING: | Iteration [4/12] | Loss 0.18 | Norm 5.000
TRAINING: | Iteration [5/12] | Loss 0.19 | Norm 3.759
TRAINING: | Iteration [6/12] | Loss 0.12 | Norm 1.373
TRAINING: | Iteration [7/12] | Loss 0.21 | Norm 3.261
TRAINING: | Iteration [8/12] | Loss 0.16 | Norm 4.999
TRAINING: | Iteration [9/12] | Loss 0.14 | Norm 2.355
TRAINING: | Iteration [10/12] | Loss 0.15 | Norm 3.900
TRAINING: | Iteration [11/12] | Loss 0.13 | Norm 2.389
TRAINING: | Iteration [12/12] | Loss 0.16 | Norm 5.000
Epoch: 14/10000 | Epoch Time: 0.094 seconds
TRAINING: | Iteration [1/12] | Loss 0.14 | Norm 3.402
TRAINING: | Iteration [2/12] | Loss 0.13 | Norm 1.425
TRAINING: | Iteration [3/12] | Loss 0.15 | Norm 3.808
TRAINING: | Iteration [4/12] | Loss 0.14 | Norm 3.422
TRAINING: | Iteration [5/12] | Loss 0.16 | Norm 4.524
TRAINING: | Iteration [6/12] | Loss 0.14 | Norm 3.365
TRAINING: | Iteration [7/12] | Loss 0.12 | Norm 2.491
TRAINING: | Iteration [8/12] | Loss 0.16 | Norm 1.292
TRAINING: | Iteration [9/12] | Loss 0.15 | Norm 3.993
TRAINING: | Iteration [10/12] | Loss 0.16 | Norm 2.686
TRAINING: | Iteration [11/12] | Loss 0.15 | Norm 3.838
TRAINING: | Iteration [12/12] | Loss 0.16 | Norm 3.805
Epoch: 15/10000 | Epoch Time: 0.093 seconds
TRAINING: | Iteration [1/12] | Loss 0.13 | Norm 1.342
TRAINING: | Iteration [2/12] | Loss 0.12 | Norm 2.570
TRAINING: | Iteration [3/12] | Loss 0.13 | Norm 4.656
TRAINING: | Iteration [4/12] | Loss 0.14 | Norm 2.150
TRAINING: | Iteration [5/12] | Loss 0.19 | Norm 1.732
TRAINING: | Iteration [6/12] | Loss 0.10 | Norm 1.367
TRAINING: | Iteration [7/12] | Loss 0.13 | Norm 3.508
TRAINING: | Iteration [8/12] | Loss 0.11 | Norm 2.095
TRAINING: | Iteration [9/12] | Loss 0.11 | Norm 1.485
TRAINING: | Iteration [10/12] | Loss 0.16 | Norm 4.209
TRAINING: | Iteration [11/12] | Loss 0.16 | Norm 2.587
TRAINING: | Iteration [12/12] | Loss 0.12 | Norm 2.490
Epoch: 16/10000 | Epoch Time: 0.094 seconds
TRAINING: | Iteration [1/12] | Loss 0.13 | Norm 2.008
TRAINING: | Iteration [2/12] | Loss 0.13 | Norm 2.204
TRAINING: | Iteration [3/12] | Loss 0.13 | Norm 2.649
TRAINING: | Iteration [4/12] | Loss 0.13 | Norm 3.221
TRAINING: | Iteration [5/12] | Loss 0.12 | Norm 1.571
TRAINING: | Iteration [6/12] | Loss 0.14 | Norm 4.078
TRAINING: | Iteration [7/12] | Loss 0.14 | Norm 1.107
TRAINING: | Iteration [8/12] | Loss 0.17 | Norm 4.858
TRAINING: | Iteration [9/12] | Loss 0.13 | Norm 5.000
TRAINING: | Iteration [10/12] | Loss 0.12 | Norm 1.845
TRAINING: | Iteration [11/12] | Loss 0.11 | Norm 2.047
TRAINING: | Iteration [12/12] | Loss 0.20 | Norm 5.000
Epoch: 17/10000 | Epoch Time: 0.094 seconds
TRAINING: | Iteration [1/12] | Loss 0.16 | Norm 3.923
TRAINING: | Iteration [2/12] | Loss 0.13 | Norm 2.962
TRAINING: | Iteration [3/12] | Loss 0.14 | Norm 3.896
TRAINING: | Iteration [4/12] | Loss 0.11 | Norm 2.444
TRAINING: | Iteration [5/12] | Loss 0.11 | Norm 4.465
TRAINING: | Iteration [6/12] | Loss 0.15 | Norm 3.966
TRAINING: | Iteration [7/12] | Loss 0.15 | Norm 2.883
TRAINING: | Iteration [8/12] | Loss 0.14 | Norm 3.557
TRAINING: | Iteration [9/12] | Loss 0.16 | Norm 5.000
TRAINING: | Iteration [10/12] | Loss 0.12 | Norm 4.136
TRAINING: | Iteration [11/12] | Loss 0.13 | Norm 1.788
TRAINING: | Iteration [12/12] | Loss 0.15 | Norm 2.297
Epoch: 18/10000 | Epoch Time: 0.094 seconds
TRAINING: | Iteration [1/12] | Loss 0.12 | Norm 2.724
TRAINING: | Iteration [2/12] | Loss 0.15 | Norm 5.000
TRAINING: | Iteration [3/12] | Loss 0.10 | Norm 2.513
TRAINING: | Iteration [4/12] | Loss 0.09 | Norm 1.064
TRAINING: | Iteration [5/12] | Loss 0.12 | Norm 1.424
TRAINING: | Iteration [6/12] | Loss 0.19 | Norm 5.000
TRAINING: | Iteration [7/12] | Loss 0.13 | Norm 4.508
TRAINING: | Iteration [8/12] | Loss 0.13 | Norm 4.017
TRAINING: | Iteration [9/12] | Loss 0.15 | Norm 3.720
TRAINING: | Iteration [10/12] | Loss 0.16 | Norm 3.814
TRAINING: | Iteration [11/12] | Loss 0.17 | Norm 5.000
TRAINING: | Iteration [12/12] | Loss 0.15 | Norm 4.486
Epoch: 19/10000 | Epoch Time: 0.094 seconds
TRAINING: | Iteration [1/12] | Loss 0.16 | Norm 5.000
TRAINING: | Iteration [2/12] | Loss 0.10 | Norm 1.280
TRAINING: | Iteration [3/12] | Loss 0.14 | Norm 2.370
TRAINING: | Iteration [4/12] | Loss 0.13 | Norm 1.874
TRAINING: | Iteration [5/12] | Loss 0.19 | Norm 5.000
TRAINING: | Iteration [6/12] | Loss 0.12 | Norm 2.998
TRAINING: | Iteration [7/12] | Loss 0.09 | Norm 1.675
TRAINING: | Iteration [8/12] | Loss 0.11 | Norm 1.849
TRAINING: | Iteration [9/12] | Loss 0.14 | Norm 4.918
TRAINING: | Iteration [10/12] | Loss 0.15 | Norm 2.056
TRAINING: | Iteration [11/12] | Loss 0.14 | Norm 2.326
TRAINING: | Iteration [12/12] | Loss 0.10 | Norm 1.940
Epoch: 20/10000 | Epoch Time: 0.094 seconds
Saving Model
TRAINING: | Iteration [1/12] | Loss 0.13 | Norm 1.908
TRAINING: | Iteration [2/12] | Loss 0.12 | Norm 2.253
TRAINING: | Iteration [3/12] | Loss 0.11 | Norm 0.988
TRAINING: | Iteration [4/12] | Loss 0.14 | Norm 5.000
TRAINING: | Iteration [5/12] | Loss 0.13 | Norm 1.872
TRAINING: | Iteration [6/12] | Loss 0.12 | Norm 1.820
TRAINING: | Iteration [7/12] | Loss 0.14 | Norm 2.210
TRAINING: | Iteration [8/12] | Loss 0.14 | Norm 1.827
TRAINING: | Iteration [9/12] | Loss 0.13 | Norm 2.340
TRAINING: | Iteration [10/12] | Loss 0.10 | Norm 1.886
TRAINING: | Iteration [11/12] | Loss 0.12 | Norm 4.191
TRAINING: | Iteration [12/12] | Loss 0.13 | Norm 3.912
Epoch: 21/10000 | Epoch Time: 0.095 seconds
TRAINING: | Iteration [1/12] | Loss 0.13 | Norm 2.100
TRAINING: | Iteration [2/12] | Loss 0.10 | Norm 1.655
TRAINING: | Iteration [3/12] | Loss 0.11 | Norm 3.539
TRAINING: | Iteration [4/12] | Loss 0.13 | Norm 3.682
TRAINING: | Iteration [5/12] | Loss 0.11 | Norm 4.086
TRAINING: | Iteration [6/12] | Loss 0.13 | Norm 3.427
TRAINING: | Iteration [7/12] | Loss 0.15 | Norm 5.000
TRAINING: | Iteration [8/12] | Loss 0.15 | Norm 5.000
TRAINING: | Iteration [9/12] | Loss 0.13 | Norm 4.329
TRAINING: | Iteration [10/12] | Loss 0.11 | Norm 3.141
TRAINING: | Iteration [11/12] | Loss 0.19 | Norm 5.000
TRAINING: | Iteration [12/12] | Loss 0.18 | Norm 5.000
Epoch: 22/10000 | Epoch Time: 0.095 seconds
TRAINING: | Iteration [1/12] | Loss 0.15 | Norm 4.914
TRAINING: | Iteration [2/12] | Loss 0.10 | Norm 1.945
TRAINING: | Iteration [3/12] | Loss 0.17 | Norm 5.000
TRAINING: | Iteration [4/12] | Loss 0.18 | Norm 5.000
TRAINING: | Iteration [5/12] | Loss 0.13 | Norm 4.053
TRAINING: | Iteration [6/12] | Loss 0.17 | Norm 5.000
TRAINING: | Iteration [7/12] | Loss 0.10 | Norm 1.846
TRAINING: | Iteration [8/12] | Loss 0.12 | Norm 1.992
TRAINING: | Iteration [9/12] | Loss 0.16 | Norm 5.000
TRAINING: | Iteration [10/12] | Loss 0.20 | Norm 5.000
TRAINING: | Iteration [11/12] | Loss 0.16 | Norm 4.977
TRAINING: | Iteration [12/12] | Loss 0.18 | Norm 4.519
Epoch: 23/10000 | Epoch Time: 0.095 seconds
TRAINING: | Iteration [1/12] | Loss 0.11 | Norm 2.044
TRAINING: | Iteration [2/12] | Loss 0.13 | Norm 5.000
TRAINING: | Iteration [3/12] | Loss 0.14 | Norm 5.000
TRAINING: | Iteration [4/12] | Loss 0.15 | Norm 5.000
TRAINING: | Iteration [5/12] | Loss 0.13 | Norm 3.092
TRAINING: | Iteration [6/12] | Loss 0.15 | Norm 4.814
TRAINING: | Iteration [7/12] | Loss 0.09 | Norm 2.069
TRAINING: | Iteration [8/12] | Loss 0.13 | Norm 5.000
TRAINING: | Iteration [9/12] | Loss 0.16 | Norm 5.000
TRAINING: | Iteration [10/12] | Loss 0.13 | Norm 5.000
TRAINING: | Iteration [11/12] | Loss 0.15 | Norm 5.000
TRAINING: | Iteration [12/12] | Loss 0.11 | Norm 3.979
Epoch: 24/10000 | Epoch Time: 0.095 seconds
TRAINING: | Iteration [1/12] | Loss 0.14 | Norm 4.763
TRAINING: | Iteration [2/12] | Loss 0.14 | Norm 1.637
TRAINING: | Iteration [3/12] | Loss 0.16 | Norm 5.000
TRAINING: | Iteration [4/12] | Loss 0.24 | Norm 5.000
TRAINING: | Iteration [5/12] | Loss 0.11 | Norm 1.842
TRAINING: | Iteration [6/12] | Loss 0.12 | Norm 4.005
TRAINING: | Iteration [7/12] | Loss 0.12 | Norm 1.332
TRAINING: | Iteration [8/12] | Loss 0.13 | Norm 3.162
TRAINING: | Iteration [9/12] | Loss 0.12 | Norm 4.423
TRAINING: | Iteration [10/12] | Loss 0.14 | Norm 2.024
TRAINING: | Iteration [11/12] | Loss 0.12 | Norm 2.604
TRAINING: | Iteration [12/12] | Loss 0.12 | Norm 3.987
Epoch: 25/10000 | Epoch Time: 0.094 seconds
TRAINING: | Iteration [1/12] | Loss 0.18 | Norm 5.000
TRAINING: | Iteration [2/12] | Loss 0.11 | Norm 5.000
TRAINING: | Iteration [3/12] | Loss 0.10 | Norm 1.096
TRAINING: | Iteration [4/12] | Loss 0.16 | Norm 2.901
TRAINING: | Iteration [5/12] | Loss 0.16 | Norm 5.000
TRAINING: | Iteration [6/12] | Loss 0.21 | Norm 5.000
TRAINING: | Iteration [7/12] | Loss 0.13 | Norm 5.000
TRAINING: | Iteration [8/12] | Loss 0.09 | Norm 1.543
TRAINING: | Iteration [9/12] | Loss 0.12 | Norm 2.130
TRAINING: | Iteration [10/12] | Loss 0.10 | Norm 2.141
TRAINING: | Iteration [11/12] | Loss 0.18 | Norm 5.000
TRAINING: | Iteration [12/12] | Loss 0.19 | Norm 5.000
Epoch: 26/10000 | Epoch Time: 0.095 seconds
TRAINING: | Iteration [1/12] | Loss 0.10 | Norm 2.887
TRAINING: | Iteration [2/12] | Loss 0.10 | Norm 1.159
TRAINING: | Iteration [3/12] | Loss 0.16 | Norm 3.319
TRAINING: | Iteration [4/12] | Loss 0.11 | Norm 1.744
TRAINING: | Iteration [5/12] | Loss 0.13 | Norm 3.075
TRAINING: | Iteration [6/12] | Loss 0.10 | Norm 2.735
TRAINING: | Iteration [7/12] | Loss 0.16 | Norm 3.212
TRAINING: | Iteration [8/12] | Loss 0.13 | Norm 2.575
TRAINING: | Iteration [9/12] | Loss 0.10 | Norm 0.982
TRAINING: | Iteration [10/12] | Loss 0.11 | Norm 3.619
TRAINING: | Iteration [11/12] | Loss 0.11 | Norm 1.754
TRAINING: | Iteration [12/12] | Loss 0.08 | Norm 2.239
Epoch: 27/10000 | Epoch Time: 0.094 seconds
TRAINING: | Iteration [1/12] | Loss 0.13 | Norm 5.000
TRAINING: | Iteration [2/12] | Loss 0.17 | Norm 5.000
TRAINING: | Iteration [3/12] | Loss 0.16 | Norm 2.065
TRAINING: | Iteration [4/12] | Loss 0.11 | Norm 2.096
TRAINING: | Iteration [5/12] | Loss 0.10 | Norm 1.175
TRAINING: | Iteration [6/12] | Loss 0.14 | Norm 1.751
TRAINING: | Iteration [7/12] | Loss 0.10 | Norm 3.240
TRAINING: | Iteration [8/12] | Loss 0.10 | Norm 1.475
TRAINING: | Iteration [9/12] | Loss 0.13 | Norm 3.999
TRAINING: | Iteration [10/12] | Loss 0.12 | Norm 3.558
TRAINING: | Iteration [11/12] | Loss 0.12 | Norm 4.928
TRAINING: | Iteration [12/12] | Loss 0.16 | Norm 5.000
Epoch: 28/10000 | Epoch Time: 0.095 seconds
TRAINING: | Iteration [1/12] | Loss 0.11 | Norm 1.720
TRAINING: | Iteration [2/12] | Loss 0.19 | Norm 5.000
TRAINING: | Iteration [3/12] | Loss 0.12 | Norm 4.459
TRAINING: | Iteration [4/12] | Loss 0.13 | Norm 5.000
TRAINING: | Iteration [5/12] | Loss 0.09 | Norm 1.760
TRAINING: | Iteration [6/12] | Loss 0.16 | Norm 5.000
TRAINING: | Iteration [7/12] | Loss 0.14 | Norm 5.000
TRAINING: | Iteration [8/12] | Loss 0.13 | Norm 5.000
TRAINING: | Iteration [9/12] | Loss 0.11 | Norm 2.166
TRAINING: | Iteration [10/12] | Loss 0.12 | Norm 0.939
TRAINING: | Iteration [11/12] | Loss 0.09 | Norm 2.567
TRAINING: | Iteration [12/12] | Loss 0.16 | Norm 4.875
Epoch: 29/10000 | Epoch Time: 0.095 seconds
TRAINING: | Iteration [1/12] | Loss 0.12 | Norm 2.936
TRAINING: | Iteration [2/12] | Loss 0.14 | Norm 2.016
TRAINING: | Iteration [3/12] | Loss 0.11 | Norm 2.291
TRAINING: | Iteration [4/12] | Loss 0.10 | Norm 2.591
TRAINING: | Iteration [5/12] | Loss 0.12 | Norm 2.045
TRAINING: | Iteration [6/12] | Loss 0.13 | Norm 1.904
TRAINING: | Iteration [7/12] | Loss 0.12 | Norm 3.648
TRAINING: | Iteration [8/12] | Loss 0.17 | Norm 5.000
TRAINING: | Iteration [9/12] | Loss 0.08 | Norm 1.188
TRAINING: | Iteration [10/12] | Loss 0.11 | Norm 2.078
TRAINING: | Iteration [11/12] | Loss 0.11 | Norm 2.291
TRAINING: | Iteration [12/12] | Loss 0.17 | Norm 5.000
Epoch: 30/10000 | Epoch Time: 0.094 seconds
Saving Model
TRAINING: | Iteration [1/12] | Loss 0.12 | Norm 5.000
TRAINING: | Iteration [2/12] | Loss 0.23 | Norm 5.000
TRAINING: | Iteration [3/12] | Loss 0.14 | Norm 4.257
TRAINING: | Iteration [4/12] | Loss 0.15 | Norm 5.000
TRAINING: | Iteration [5/12] | Loss 0.13 | Norm 4.361
TRAINING: | Iteration [6/12] | Loss 0.14 | Norm 4.057
TRAINING: | Iteration [7/12] | Loss 0.12 | Norm 1.224
TRAINING: | Iteration [8/12] | Loss 0.14 | Norm 3.407
TRAINING: | Iteration [9/12] | Loss 0.19 | Norm 4.762
TRAINING: | Iteration [10/12] | Loss 0.12 | Norm 3.733
TRAINING: | Iteration [11/12] | Loss 0.15 | Norm 5.000
TRAINING: | Iteration [12/12] | Loss 0.09 | Norm 1.935
Epoch: 31/10000 | Epoch Time: 0.096 seconds
TRAINING: | Iteration [1/12] | Loss 0.11 | Norm 2.992
TRAINING: | Iteration [2/12] | Loss 0.15 | Norm 3.654
TRAINING: | Iteration [3/12] | Loss 0.18 | Norm 5.000
TRAINING: | Iteration [4/12] | Loss 0.14 | Norm 2.185
TRAINING: | Iteration [5/12] | Loss 0.12 | Norm 2.312
TRAINING: | Iteration [6/12] | Loss 0.12 | Norm 2.459
TRAINING: | Iteration [7/12] | Loss 0.15 | Norm 5.000
TRAINING: | Iteration [8/12] | Loss 0.10 | Norm 1.897
TRAINING: | Iteration [9/12] | Loss 0.18 | Norm 5.000
TRAINING: | Iteration [10/12] | Loss 0.11 | Norm 2.310
TRAINING: | Iteration [11/12] | Loss 0.09 | Norm 2.131
